,RIJEKA,LOKACIJA,LAT,LON,Odvaga/g,Flu,Pir,BaA,Kri,BjF,BbF,BkF,BaP,DahA,BghiP,IP,HCB,α-HCH,β-HCH,γ-HCH,DDE,DDD,DDT,PCB-28,PCB-52,PCB-101,PCB-118,PCB-153,PCB-138,PCB-180,PCB-74,PCB-60,PCB-123,PCB-114,PCB-105,PCB-167,PCB-156,PCB-157,PCB-170,PCB-189,TOC(%)
0,Kupa,Kuželj-Gorski kotar,45.47773400000001,14.806545000000002,1.02,3.34,3.78,0.49,2.29,1.25,5.95,0.5,1.11,0.42,2.16,1.96,0.02,0.09,0.11,0.02,0.08,0.02,0.02,0.15,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.12
1,Kupica,Iševnica- Gorski kotar,45.447729,14.853218,1.01,4.74,7.01,0.44,11.01,0.5,15.85,0.8,0.57,1.53,5.69,3.89,0.02,0.22,0.15,0.42,0.2,0.02,0.02,0.57,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.68
2,Kupa,centar Karlovca,45.49634,15.551701,1.02,24.09,17.88,11.32,16.71,10.55,35.72,7.9,18.53,1.48,9.54,12.84,0.02,0.08,0.08,0.13,0.14,0.21,0.02,0.59,0.02,0.2,0.02,0.02,0.02,0.02,0.07,0.19,0.18,0.06,0.09,0.02,0.02,0.02,0.02,0.02,0.08
3,Korana,ušće u Kupu,45.500745,15.575217000000002,1.01,14.82,11.99,6.8,24.18,1.38,13.67,2.62,6.63,1.05,4.01,5.36,0.55,0.09,0.21,0.18,0.02,0.02,0.12,0.16,0.02,0.55,0.17,0.02,0.02,0.02,0.14,0.02,0.02,0.19,0.02,0.02,0.02,0.02,0.02,0.02,2.19
4,Kupčina,Zagrebačka županija,45.560677,15.737882999999998,1.03,3.12,3.4,1.45,1.94,1.29,3.1,0.86,2.35,0.25,2.35,2.21,0.02,0.04,0.25,0.08,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.97
5,Vidak,Stubičke Toplice,45.975335,15.939998999999998,1.03,12.77,13.06,1.7,5.3,3.69,11.94,2.54,2.86,0.87,5.81,6.0,0.02,0.06,0.09,0.08,0.04,0.02,0.02,0.15,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.67
6,Mirna, Istra,45.357614,13.737685999999998,1.01,3.21,2.4,0.68,0.95,1.44,10.72,0.67,0.68,0.89,2.46,1.72,0.02,0.13,0.02,0.08,0.37,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.09,0.02,0.02,0.02,0.02,0.02,0.02,1.3
7,Mala Huba, Istra,45.401167,13.947612,1.02,11.51,12.56,2.24,4.15,3.55,57.25,2.13,4.29,1.33,7.06,6.32,0.02,0.21,0.02,0.24,0.85,0.02,0.02,0.21,0.02,0.02,0.02,0.1,0.02,0.02,0.02,0.02,0.02,0.15,0.02,0.02,0.02,0.02,0.02,0.02,1.54
8,Boljunčica, Istra,45.262613,14.12737,1.04,7.38,7.51,2.62,4.42,1.91,22.89,1.31,2.68,1.61,8.78,6.94,0.02,0.02,0.02,0.02,0.21,0.02,0.02,0.24,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.38
9,Kupa ,Jurovo - Jurovski Brod (utok Lahinje - lijevi pritok),45.628944,15.301039,1.02,5.88,5.96,1.57,6.71,1.44,18.94,1.09,2.92,0.75,5.56,4.81,0.03,0.08,0.03,0.14,0.24,0.09,0.57,1.4,0.2,0.61,0.48,0.53,0.94,0.01,0.15,0.35,0.21,0.02,0.28,0.02,0.02,0.02,0.03,0.02,1.63
10,Kupa ,Ozalj,45.614388,15.476448,1.02,12.96,14.99,3.32,38.25,1.63,26.98,2.91,5.88,1.38,10.46,10.64,0.02,0.02,0.02,0.02,0.98,0.17,0.35,3.28,2.05,3.9,4.02,4.92,5.04,0.28,0.73,2.05,1.79,0.14,2.03,0.73,0.17,0.02,0.12,0.02,4.34
11,Neretva,Metković-Doljani,43.05095,17.661434,1.01,14.33,12.64,7.52,9.08,7.25,26.19,5.21,12.45,1.31,12.61,13.16,0.12,0.08,0.02,0.04,0.11,0.02,0.02,0.13,0.12,0.03,0.02,0.1,0.3,0.18,0.09,0.05,0.11,0.02,0.02,0.02,0.11,0.02,0.02,0.02,1.73
12,Neretva,Metković-Unka,43.054255,17.655278,1.03,3.17,3.85,1.83,2.51,1.73,4.04,1.16,2.46,0.41,2.67,2.29,0.02,0.02,0.02,0.02,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.35
13,Neretva,Metković-most,43.054154,17.652171,1.04,66.97,51.43,32.97,33.85,21.47,61.39,17.23,41.9,7.19,30.52,43.62,0.02,0.1,0.02,0.11,0.67,0.3,0.38,0.63,0.02,0.23,0.13,0.35,0.46,0.04,0.02,0.11,0.35,0.02,0.06,0.02,0.02,0.02,0.09,0.02,0.41
14,Neretva,ušće,43.020129,17.447356,1.0,1.07,1.14,0.16,0.03,0.52,0.85,0.1,0.23,0.07,0.3,0.4,0.02,0.07,0.02,0.07,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.5
15,Orljava,Mijači,45.446224,17.473141000000002,1.03,1.47,1.43,0.22,0.23,0.19,1.4,0.22,0.32,0.12,0.74,0.64,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.55
16,Brzaja,Striježevica,45.466612,17.506494,0.99,1.95,2.13,0.59,0.62,0.24,0.55,0.13,0.32,0.1,0.47,0.29,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.15
17,Kupa,Petrinja (kupalište),45.444949,16.270323,1.01,32.0,28.03,17.4,15.33,10.2,20.57,7.87,19.89,3.28,12.97,15.17,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.15
18,Kupa,Sisak (Stari grad),45.470357,16.385345,1.01,29.23,23.76,8.8,8.85,8.28,75.27,5.91,13.99,1.15,12.91,14.86,0.03,0.15,0.1,0.12,0.26,0.15,1.7,0.53,0.19,0.51,0.43,1.17,1.28,0.1,0.03,0.23,0.28,0.16,0.24,0.08,0.04,0.02,0.07,0.03,1.67
19,Sava,Sisak (Stari grad),45.47153400000001,16.387908,1.01,11.43,13.11,3.4,3.66,4.4,23.82,2.37,3.67,1.48,5.41,6.36,0.02,0.1,0.02,0.09,0.13,0.21,0.16,0.02,0.07,0.11,0.02,0.1,0.17,0.06,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.55
20,Sava,Zagreb (Savski Kamenji - toplana),45.779541,16.012931,1.04,60.01,53.23,34.75,46.07,17.76,55.7,19.97,45.15,5.21,31.58,35.08,0.08,0.19,0.11,0.21,0.21,0.24,1.6,0.16,0.02,0.12,0.09,0.31,0.24,0.26,0.02,0.02,0.34,0.07,0.14,0.07,0.02,0.02,0.02,0.02,0.18
21,Plitvička jezera ,Prošćansko jezero,44.864727,15.600791,0.99,17.19,13.9,7.54,8.26,8.59,19.87,5.6,12.36,2.65,18.21,20.47,0.02,0.04,0.02,0.07,0.02,0.02,0.59,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,3.98
22,Mrežnica,Belavići-kamp Slapić,45.420562,15.482801,1.02,2.66,2.73,0.86,1.78,1.18,15.14,0.77,1.45,0.41,2.51,2.65,0.02,0.07,0.04,0.03,0.02,0.06,0.02,0.07,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2.85
23,Mrežnica,Duga Resa-gradsko kupalište,45.445093,15.504593,1.02,28.43,22.56,9.03,11.7,8.41,33.63,5.79,13.72,1.71,13.87,14.58,0.02,0.02,0.0,0.02,0.1,0.05,0.02,0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,4.15
24,Kupa,Severin na Kupi-kupalište Klanac,45.428927,15.190848,1.02,6.47,7.22,1.55,6.83,2.37,16.52,1.52,3.39,0.65,5.22,4.56,0.17,0.15,0.08,0.2,0.14,0.09,0.02,0.16,0.04,0.05,0.03,0.04,0.02,0.02,0.06,0.07,0.03,0.02,0.04,0.02,0.02,0.02,0.01,0.02,1.19
25,Kupa,Ozalj-gradsko kupalište,45.614723,15.479833,1.02,4.14,4.1,1.17,1.86,1.46,16.33,0.99,2.1,0.4,3.24,3.49,0.02,0.08,0.12,0.1,0.17,0.06,0.02,0.75,0.09,0.41,0.48,0.39,0.77,0.03,0.09,0.27,0.02,0.02,0.3,0.02,0.03,0.02,0.08,0.02,1.07
