Id,Daphnia_Magna_EPA_mg/L,Fathead_Minnow_EPA_mg/L,Fish_acute_LC50_mg/L
Flu,0.0925,0.0532,0.4497
Pir,0.5075,1.44,0.4589
BaA,0.3703,0.6775,0.4621
Kri,0.392,0.6511,0.3764
BjF,0.1709,0.0139,0.4158
BbF,0.1526,0.0138,0.4449
BkF,0.1618,0.0154,0.4269
BaP,0.177,0.2668,0.3721
DahA,0.1404,0.1454,0.3585
BghiP,0.0983,0.0929,0.4502
IP,0.0812,0.0054,0.3903
HCB,4.37,0.1822,0.3808
α-HCH,1.79,0.0714,0.6145
β-HCH,1.79,0.0714,0.6145
γ-HCH,1.79,0.0714,0.6145
DDE,0.2743,0.0178,0.5439
DDD,0.8043,4.42,0.5336
DDT,0.0426,0.019,0.5584
28.0,0.6556,0.3687,0.2948
52.0,0.3917,0.0976,0.3392
101.0,0.2173,0.0394,0.4973
118.0,0.2125,0.0502,0.5057
153.0,0.1311,0.0151,0.5305
138.0,0.1271,0.0149,0.6321
180.0,0.0738,0.005,0.6093
74.0,0.3514,0.1544,0.3643
60.0,0.3817,0.1548,0.4437
123.0,0.2153,0.0586,0.6385
114.0,0.1972,0.0584,0.5467
105.0,0.2135,0.05,0.5922
167.0,0.1273,0.017,0.6192
156.0,0.1199,0.0168,0.6401
157.0,0.1259,0.0168,0.6606
170.0,0.072,0.0049,0.6085
189.0,0.0724,0.0053,0.6041
