LOKACIJA,RIJEKA,TU_site_DM,TU_site_FM,TU_site_FA,TU_site_DM_rank,TU_site_FM_rank,TU_site_FA_rank,TU_site_average_rank
Kuželj-Gorski kotar,Kupa,-5.5097482601169485,-4.9770788145294595,-5.906836394293609,5.0,5.0,5.0,5.0
Iševnica- Gorski kotar,Kupica,-6.014414779310552,-5.422670061752986,-6.334626502497305,13.0,10.0,9.0,10.666666666666666
centar Karlovca,Kupa,-4.486880597077282,-3.9751146749669717,-4.921271444678772,2.0,1.0,2.0,1.6666666666666667
ušće u Kupu,Korana,-6.152196828903046,-5.749581992179581,-6.533806730923047,15.0,20.0,15.0,16.666666666666668
Zagrebačka županija,Kupčina,-6.751718413850043,-6.248030569773798,-7.130354757610055,26.0,27.0,26.0,26.333333333333332
Stubičke Toplice,Vidak,-5.725338548716848,-5.271113989886079,-6.155937714875426,8.0,8.0,7.0,7.666666666666667
 Istra,Mirna,-6.540465007854607,-5.901018280230131,-6.989578856119939,23.0,22.0,23.0,22.666666666666668
 Istra,Mala Huba,-6.008662642313438,-5.335908232176869,-6.435839307159897,11.0,9.0,12.0,10.666666666666666
 Istra,Boljunčica,-6.179667596177934,-5.580256538547276,-6.612507777086402,18.0,13.0,17.0,16.0
Jurovo - Jurovski Brod (utok Lahinje - lijevi pritok),Kupa ,-6.339152863812332,-5.7411235869695885,-6.7382537012224,21.0,19.0,20.0,20.0
Ozalj,Kupa ,-6.412304376762622,-5.918899829532219,-6.750936345277114,22.0,23.0,21.0,22.0
Metković-Doljani,Neretva,-6.009493390174841,-5.456520150238014,-6.439785748288952,12.0,11.0,13.0,12.0
Metković-Unka,Neretva,-5.970507174659161,-5.474899936995493,-6.360435086575784,10.0,12.0,11.0,11.0
Metković-most,Neretva,-4.776666842173851,-4.310485507730674,-5.222112215726526,4.0,4.0,4.0,4.0
ušće,Neretva,-6.683188723594322,-6.181754121466163,-7.077176221201838,25.0,26.0,25.0,25.333333333333332
Mijači,Orljava,-6.591230432442834,-6.1417790937934695,-7.031283147441289,24.0,24.0,24.0,24.0
Striježevica,Brzaja,-5.92933604508739,-5.622510474126854,-6.3401533197914555,9.0,15.0,10.0,11.333333333333334
Petrinja (kupalište),Kupa,-4.668809769224675,-4.253307083950327,-5.100579297843214,3.0,3.0,3.0,3.0
Sisak (Stari grad),Kupa,-5.7151930971305935,-5.141049567205717,-6.170334128969554,7.0,7.0,8.0,7.333333333333333
Sisak (Stari grad),Sava,-5.636890096963378,-5.092321353627768,-6.057789687999756,6.0,6.0,6.0,6.0
Zagreb (Savski Kamenji - toplana),Sava,-4.447105361272065,-3.996644669026019,-4.864069633186343,1.0,2.0,1.0,1.3333333333333333
Prošćansko jezero,Plitvička jezera ,-6.314077790241506,-5.776636026919471,-6.765308961422897,20.0,21.0,22.0,21.0
Belavići-kamp Slapić,Mrežnica,-6.868493488331819,-6.1631948998818435,-7.290006004500364,27.0,25.0,27.0,26.333333333333332
Duga Resa-gradsko kupalište,Mrežnica,-6.1612252574801865,-5.685704210644245,-6.616013611729084,16.0,18.0,18.0,17.333333333333332
Severin na Kupi-kupalište Klanac,Kupa,-6.177582235877083,-5.603540426859577,-6.565908959342303,17.0,14.0,16.0,15.666666666666666
Ozalj-gradsko kupalište,Kupa,-6.30434839314411,-5.649355411332051,-6.722158343640143,19.0,17.0,19.0,18.333333333333332
Slunj-kupalište Rastoke,Korana,-7.14121103331801,-6.5470189638000456,-7.522175156971131,28.0,28.0,28.0,28.0
Karlovac-Foginovo kupalište,Korana,-6.073963162101167,-5.648841825982712,-6.491717436639392,14.0,16.0,14.0,14.666666666666666
