RIJEKA,LOKACIJA,LAT,LON,TU_site_average_rank,Adjusted_Rank
Kupa,Kuželj-Gorski kotar,45.477734000000005,14.806545000000002,5.0,0.1111111111111111
Kupica,Iševnica- Gorski kotar,45.447729,14.853218,10.666666666666666,0.06818181818181819
Kupa,centar Karlovca,45.49634,15.551701,1.6666666666666667,0.1764705882352941
Korana,ušće u Kupu,45.500745,15.575217000000002,16.666666666666668,0.04838709677419355
Kupčina,Zagrebačka županija,45.560677,15.737882999999998,26.333333333333332,0.03296703296703297
Vidak,Stubičke Toplice,45.975335,15.939998999999998,7.666666666666667,0.0857142857142857
Mirna, Istra,45.357614,13.737685999999998,22.666666666666668,0.0375
Mala Huba, Istra,45.401167,13.947612,10.666666666666666,0.06818181818181819
Boljunčica, Istra,45.262613,14.12737,16.0,0.05
Kupa ,Jurovo - Jurovski Brod (utok Lahinje - lijevi pritok),45.628944,15.301039,20.0,0.041666666666666664
Kupa ,Ozalj,45.614388,15.476448,22.0,0.038461538461538464
Neretva,Metković-Doljani,43.05095,17.661434,12.0,0.0625
Neretva,Metković-Unka,43.054255,17.655278,11.0,0.06666666666666667
Neretva,Metković-most,43.054154,17.652171,4.0,0.125
Neretva,ušće,43.020129,17.447356,25.333333333333332,0.034090909090909095
Orljava,Mijači,45.446224,17.473141000000002,24.0,0.03571428571428571
Brzaja,Striježevica,45.466612,17.506494,11.333333333333334,0.06521739130434782
Kupa,Petrinja (kupalište),45.444949,16.270323,3.0,0.14285714285714285
Kupa,Sisak (Stari grad),45.470357,16.385345,7.333333333333333,0.08823529411764706
Sava,Sisak (Stari grad),45.471534000000005,16.387908,6.0,0.1
Sava,Zagreb (Savski Kamenji - toplana),45.779541,16.012931,1.3333333333333333,0.1875
Plitvička jezera ,Prošćansko jezero,44.864727,15.600791,21.0,0.04
Mrežnica,Belavići-kamp Slapić,45.420562,15.482801,26.333333333333332,0.03296703296703297
Mrežnica,Duga Resa-gradsko kupalište,45.445093,15.504593,17.333333333333332,0.046875
Kupa,Severin na Kupi-kupalište Klanac,45.428927,15.190848,15.666666666666666,0.05084745762711865
Kupa,Ozalj-gradsko kupalište,45.614723,15.479833,18.333333333333332,0.04477611940298508
Korana,Slunj-kupalište Rastoke,45.121145,15.589586,28.0,0.03125
Korana,Karlovac-Foginovo kupalište,45.484183,15.559342,14.666666666666666,0.053571428571428575
