,Flu,Pir,BaA,Kri,BjF,BbF,BkF,BaP,DahA,BghiP,IP,HCB,α-HCH,β-HCH,γ-HCH,DDE,DDD,DDT,PCB-28,PCB-52,PCB-101,PCB-118,PCB-153,PCB-138,PCB-180,PCB-74,PCB-60,PCB-123,PCB-114,PCB-105,PCB-167,PCB-156,PCB-157,PCB-170,PCB-189
Kuželj - Kupa,1.8536318710026796e-06,3.8236180861690626e-07,2.568982358532355e-08,1.1341439209000292e-07,6.64793407765246e-08,3.5438977753768246e-07,2.808731604130545e-08,5.6999161428094655e-08,1.1305790577493299e-08,8.304605129324537e-08,9.122603431494592e-08,1.5731397779735464e-11,8.859480006924249e-09,1.0828253341796304e-08,1.968773334872055e-09,7.722944846667376e-10,6.584619456175745e-11,4.814366523012088e-10,1.8037280874197562e-09,1.118394900235673e-10,4.2139465559299144e-11,4.3091321722520955e-11,1.4599771473144163e-11,1.5059245004950435e-11,5.294103015627648e-12,1.2466570359200714e-10,1.1476952644021826e-10,4.25309143801008e-11,4.643461392513034e-11,4.2889488833890884e-11,1.5035585546969362e-11,1.5963553295489573e-11,1.5202780302853058e-11,5.426455591018341e-12,5.396475173388404e-12
Brod na Kupi - Kupica,4.642241142243413e-07,1.2513334633074288e-07,4.070896414481042e-09,9.622597921224751e-08,4.692659348931147e-09,1.6659647970258816e-07,7.930536294015654e-09,5.165265820987908e-09,7.268008228388549e-09,3.8605558158379583e-08,3.1951015019670435e-08,2.776129019953316e-12,3.821736473575165e-09,2.605729413801249e-09,7.296042358643496e-09,3.407181550000312e-10,1.161991668736896e-11,8.495940922962508e-11,1.2095588350932479e-09,1.973638059239423e-11,7.436376275170435e-12,7.60435089220958e-12,2.576430259966617e-12,2.6575138244030178e-12,9.342534733460556e-13,2.1999830045648318e-11,2.0253445842391455e-11,7.505455478841317e-12,8.194343633846529e-12,7.568733323627802e-12,2.6533386259357696e-12,2.8170976403805127e-12,2.6828435828564213e-12,9.57609810179707e-13,9.523191482450124e-13
Karlovac - Kupa,2.0054187921761023e-05,2.712948070662811e-06,8.902310295485588e-07,1.241367571063722e-06,8.416284542308016e-07,3.191294837053617e-06,6.656693901789392e-07,1.4272898125170187e-06,5.97591787667503e-08,5.501800898177505e-07,8.964354188295197e-07,2.3597096669603192e-11,1.181264000923233e-08,1.181264000923233e-08,1.9195540015002536e-08,2.0272730222501864e-09,1.0370775643476797e-09,7.221549784518132e-10,1.064199571577656e-08,1.6775923503535094e-10,6.32091983389487e-10,6.463698258378142e-11,2.1899657209716244e-11,2.2588867507425647e-11,7.941154523441471e-12,6.544949438580374e-10,1.63546575177311e-09,5.741673441313607e-10,2.089557626630865e-10,2.8950404962876334e-10,2.2553378320454045e-11,2.3945329943234357e-11,2.2804170454279584e-11,8.13968338652751e-12,8.094712760082604e-12
ušće u Kupu - Korana,4.5067384674365853e-07,6.645673820854831e-08,1.9534895206060956e-08,6.561847223153126e-08,4.021544779029214e-09,4.461386677969488e-08,8.064522523640578e-09,1.8655038394089473e-08,1.548738435273055e-09,8.447860621154587e-09,1.3669878219963945e-08,2.3704845969464397e-11,4.854509592835204e-10,1.132718904994881e-09,9.709019185670408e-10,1.0579376502284076e-11,3.6080106609182167e-12,1.5828054322231524e-10,1.054233767989629e-10,6.12819123416807e-12,6.349782481538227e-11,2.006993066528373e-11,7.999874779805023e-13,8.251641098602978e-13,2.900878364727478e-13,4.781698219967397e-11,6.288741174806479e-12,2.3304610619233315e-12,2.4171442865136342e-11,2.3501089771995e-12,8.238677012038008e-13,8.747152490679218e-13,8.330290576905785e-13,2.973400323845666e-13,2.95697269774707e-13
ZG županija - Kupčina,1.0547429595176195e-07,2.0949643852993013e-08,4.630715118456747e-09,5.852608001807168e-09,4.179087087190257e-09,1.1247109776395331e-08,2.9427522999621547e-09,7.350694435781172e-09,4.0992714204109135e-10,5.503615920449144e-09,6.265706075915173e-09,9.582577327757642e-13,2.39850558563093e-10,1.4990659910193314e-09,4.79701117126186e-10,1.1760829715737122e-11,4.0109357093456326e-12,2.9326090495505106e-11,1.4649568222698526e-11,6.8125577679330335e-12,2.5668709985359886e-12,2.624852084620566e-12,8.893261811052285e-13,9.173144165452042e-13,3.224834324240192e-13,7.593849964995359e-12,6.991037143566594e-12,2.5907155967574096e-12,2.8285044015307826e-12,2.612557695465435e-12,9.15873231287474e-13,9.723991855120553e-13,9.26057683422521e-13,3.305455182346197e-13,3.287192999018317e-13
Stubičke Toplice - Vidak,1.2693294660490242e-06,2.366095816411654e-07,1.59632166049528e-08,4.701267898666614e-08,3.514871892041205e-08,1.2737229982591026e-07,2.5555265460865374e-08,2.630376792002431e-08,4.194472410413293e-09,4.000808938754191e-08,5.001732006302244e-08,2.817563781445157e-12,1.0578483590357311e-09,1.5867725385535966e-09,1.4104644787143082e-09,6.916070011940932e-11,1.179334827971775e-11,8.622746011364933e-11,3.2305577685129956e-10,2.0030953437056824e-11,7.547366965844621e-12,7.71784866672017e-12,2.6148844429511933e-12,2.6971782098418686e-12,9.481975550377876e-13,2.2328185717971424e-11,2.0555736078845058e-11,7.617477202406114e-12,8.316647270172598e-12,7.681699492637173e-12,2.6929406949795877e-12,2.859143873819028e-12,2.722886024391592e-12,9.719024939137324e-13,9.665328668755346e-13
 Istra - Mirna,1.64444725175088e-07,2.2409483288902928e-08,3.2908785000979614e-09,4.34304356676531e-09,7.069310822266738e-09,5.893820424362955e-08,3.474184938032242e-09,3.2232374030024408e-09,2.2114623327404473e-09,8.730482315443741e-09,7.389738415465007e-09,1.4521290258217347e-12,1.181264000923233e-09,1.817329232189589e-10,7.269316928758356e-10,3.297103376846456e-10,6.078110267239148e-12,4.444030636626542e-11,2.2199730306704684e-11,1.032364523294467e-11,3.889796820858381e-12,3.977660466694241e-12,1.3476712129056151e-12,1.390084154303117e-12,4.886864322117828e-13,1.1507603408492964e-11,1.0594110132943222e-11,3.92593055816315e-12,1.9288224245823364e-11,3.959029738513003e-12,1.3879002043356335e-12,1.473558765737499e-12,1.4033335664172051e-12,5.009035930170775e-13,4.981361698512372e-13
 Istra - Mala Huba,4.9775183533496e-07,9.899947054686338e-08,9.15110598957722e-09,1.6015529762610293e-08,1.4711791777038688e-08,2.657053117629464e-07,9.323529844360611e-09,1.7165770623132747e-08,2.789740532108736e-09,2.1150978431829445e-08,2.2921357150959114e-08,1.2258232036157502e-12,1.6108145467134993e-09,1.5341090921080945e-10,1.8409309105297133e-09,6.393996545130456e-10,5.130872303513568e-12,3.7514544335159135e-11,1.967703368094279e-10,8.714765456381867e-12,3.2835947189064262e-12,3.357765329027607e-12,5.688222651874349e-12,1.1734476627234103e-12,4.1252750771124523e-13,9.71421066950705e-12,8.943079982354668e-12,3.3140972244234388e-12,2.7137112034167076e-11,3.3420380909525354e-12,1.1716040685950154e-12,1.2439132438043822e-12,1.1846322313911472e-12,4.228406954040265e-13,4.205045589653301e-13
 Istra - Boljunčica,3.561521272585205e-07,6.605790620457709e-08,1.1944514249076787e-08,1.9035185609941633e-08,8.833081104915617e-09,1.1855289744738839e-07,6.399023306801764e-09,1.1966921474915288e-08,3.768596859164433e-09,2.9353636487709106e-08,2.808822884408717e-08,1.367947633020475e-12,1.7119768129322215e-10,1.7119768129322215e-10,1.7119768129322215e-10,1.7628461063045093e-10,5.7257560488484735e-12,4.186405672184425e-11,2.509534730323139e-10,9.72517304552759e-12,3.664301352982534e-12,3.747071454132257e-12,1.269545345490797e-12,1.3094995656478639e-12,4.603567839676216e-13,1.0840495964522361e-11,9.979958820888546e-12,3.698340380878331e-12,4.037792515228726e-12,3.729520768164424e-12,1.3074422214755969e-12,1.3881350691730065e-12,1.3219808959002658e-12,4.718657035668121e-13,4.692587107294264e-13
Jurovo - Kupa ,2.4024147683396836e-07,4.4383608518001e-08,6.059800630368045e-09,2.4465204412588842e-08,5.638100655795559e-09,8.304965575992625e-08,4.507755752396016e-09,1.1038802942797968e-08,1.4863002512042025e-09,1.573742485311671e-08,1.6481678667392888e-08,1.737209570768333e-12,5.797614728457587e-10,2.174105523171595e-10,1.0145825774800777e-09,1.7056810704296044e-10,2.1814076725980995e-11,1.0101308901043765e-09,1.2393714465706298e-09,8.233582087624587e-11,9.461990426198458e-11,7.613681384101863e-11,2.848298974515242e-11,5.21068354772518e-11,1.9487495763046555e-13,6.883382406920641e-11,1.4786258007635483e-10,3.287665774167302e-11,3.4184991846721724e-12,4.420511732572803e-11,1.1069142733965177e-12,1.1752309174593553e-12,1.119223089780593e-12,5.992404947136816e-13,3.9728651583227516e-13
HE - Kupa ,1.9887195326743064e-07,4.192526889889126e-08,4.812764843596774e-09,5.2378811874219043e-08,2.396932544864186e-09,4.4432186181156356e-08,4.519857493835881e-09,8.348613007776722e-09,1.0271225146109778e-09,1.1119581368757637e-08,1.3692913643059695e-08,4.3496952386365325e-13,5.4436129074803374e-11,5.4436129074803374e-11,5.4436129074803374e-11,2.615836157742175e-10,1.5475372915436084e-11,2.329532188554236e-10,1.0905489634537878e-09,3.169644532925985e-10,2.2720357006626723e-10,2.3948448846709797e-10,9.930535803852897e-11,1.0492893293771916e-10,2.049330199597799e-12,1.2581469625184132e-10,3.252684735517706e-10,1.0524931346596375e-10,8.98734463067039e-12,1.2036727511446795e-10,1.5174162372287052e-11,3.751802848248701e-12,4.2035337242911675e-13,9.002414805376046e-13,1.4921129511673004e-13
Doljani - Neretva,5.516433085348738e-07,8.868801286205514e-08,2.734752483590418e-08,3.119275099610449e-08,2.674544576905267e-08,1.08201893704321e-07,2.0300797675172446e-08,4.434554349506503e-08,2.4460091918276177e-09,3.362911711007784e-08,4.248677403272462e-08,6.547171330294526e-12,5.462492489818418e-10,1.3656231224546045e-10,2.731246244909209e-10,7.365814449133623e-11,4.567366096769304e-12,3.3394449870604076e-11,1.0843220872349979e-10,4.654591492310314e-11,4.384453063973321e-12,2.98899341427891e-12,5.063504557159826e-12,1.56685786178675e-11,3.3049891658253525e-12,3.891299418478835e-11,1.9902230018534958e-11,1.6225666757726316e-11,3.2208980757315845e-12,2.974993445125379e-12,1.0429307893851583e-12,6.0901417196665425e-12,1.0545281134926976e-12,3.7640154388566517e-13,3.7432197734486033e-13
Unka - Neretva,6.031835446787163e-07,1.3352317126304662e-07,3.289495778039097e-08,4.2620604987534466e-08,3.154539690332916e-08,8.250091915979277e-08,2.2341453673998393e-08,4.331055972605802e-08,3.783978887161023e-09,3.51957074528516e-08,3.6543606748902545e-08,5.393622095909302e-12,6.750080005275618e-10,6.750080005275618e-10,6.750080005275618e-10,2.97885015514313e-10,2.2575838135459697e-11,1.6506399507470016e-10,8.245614113918885e-11,3.834496800808022e-11,1.4447816763188276e-11,1.477416744772147e-11,5.005635933649429e-12,5.163169715983006e-12,1.8151210339294792e-12,4.274252694583102e-11,3.934955192236055e-11,1.4582027787463132e-11,1.5920439060044688e-11,1.470496760019116e-11,5.155057901818068e-12,5.473218272739283e-12,5.212381818121048e-12,1.8604990597777166e-12,1.850220059447453e-12
most - Neretva,1.087814164460781e-05,1.5226378487934565e-06,5.059194526280444e-07,4.906691454570156e-07,3.3419975332026926e-07,1.0701859451381836e-06,2.8328455925367393e-07,6.297336490012303e-07,5.664713188305006e-08,3.43437057651741e-07,5.942179616950636e-07,4.6043115452884276e-12,2.881131709568861e-09,5.762263419137722e-10,3.1692448805257472e-09,1.8930633099757836e-09,2.8908085417356936e-10,2.6772574810896494e-09,2.217265746486725e-09,3.273350927519043e-11,1.4183527432154345e-10,8.197861205747889e-11,7.477931730147011e-11,1.0137442978942245e-10,3.0989871310991115e-12,3.6487523002538675e-11,1.8475094500132696e-10,2.1784126877612605e-10,1.3590618709794247e-11,3.765906336634321e-11,4.4006591844788394e-12,4.6722595011189006e-12,4.449594234981383e-12,7.1470390710973264e-12,1.5794561483088012e-12
ušće - Neretva,1.4251876181840963e-07,2.7675711861795117e-08,2.0132433177069882e-09,3.5658673495546764e-10,6.637297383128216e-09,1.2150506658434825e-08,1.3481911699826614e-09,2.834552892640382e-09,4.52231623099732e-10,2.7682017097748447e-09,4.468213925630005e-09,3.77553546713651e-12,1.6537696012925262e-09,4.725056003692931e-10,1.6537696012925262e-09,4.633766908000425e-11,1.580308669482179e-11,1.155447965522901e-10,5.771929879743219e-11,2.684147760565615e-11,1.0113471734231794e-11,1.0341917213405029e-11,3.5039451535545993e-12,3.6142188011881036e-12,1.2705847237506353e-12,2.9919768862081715e-11,2.754468634565238e-11,1.0207419451224193e-11,1.1144307342031283e-11,1.0293477320133812e-11,3.6085405312726473e-12,3.831252790917498e-12,3.648667272684733e-12,1.3023493418444015e-12,1.2951540416132167e-12
Mijači - Orljava,1.779970941997129e-07,3.1560022298538284e-08,2.516554147133735e-09,2.4853014860532594e-09,2.2046966832069244e-09,1.8193272001934494e-08,2.6963823399653228e-09,3.5852052397032504e-09,7.047765554801017e-10,6.207482621919349e-09,6.4992202554618255e-09,3.4323049701241e-12,4.295505457902665e-10,4.295505457902665e-10,4.295505457902665e-10,4.2125153709094765e-11,1.4366442449837988e-11,1.0504072413844555e-10,5.247208981584744e-11,3.6602014916803836e-11,9.194065212937994e-12,9.401742921277298e-12,3.1854046850496358e-12,3.2856534556255485e-12,1.1550770215914866e-12,2.7199789874619736e-11,2.5040623950593074e-11,9.279472228385628e-12,1.013118849275571e-11,9.3577066546671e-12,3.280491392066042e-12,3.4829570826522703e-12,3.3169702478952118e-12,1.1839539471312739e-12,1.1774127651029242e-12
Striježevica - Brzaja,8.657681792707126e-07,1.7236627563047837e-07,2.4746115780148396e-08,2.456486396359888e-08,1.0211226743274178e-08,2.620697514564374e-08,5.842161736591533e-09,1.3145752545578584e-08,2.1534839195225335e-09,1.4456164484379748e-08,1.0798183653605846e-08,1.258511822378837e-11,1.575018667897644e-09,1.575018667897644e-09,1.575018667897644e-09,1.5445889693334747e-10,5.267695564940595e-11,7.702986436819339e-10,1.923976626581073e-10,8.947159201885381e-11,3.37115724474393e-11,3.447305737801676e-11,1.1679817178515332e-11,1.2047396003960348e-11,4.235282412502118e-12,9.97325628736057e-11,9.181562115217459e-11,3.4024731504080634e-11,3.7147691140104266e-11,3.4311591067112695e-11,1.2028468437575491e-11,1.2770842636391658e-11,1.2162224242282445e-11,4.341164472814672e-12,4.317180138710722e-12
Petrinja - Kupa,1.4207477813673232e-05,2.2682754487898165e-06,7.298007026687831e-07,6.073860718741466e-07,4.339771365891525e-07,9.801408704470758e-07,3.5367548359211817e-07,8.170906816611189e-07,7.063427256033909e-08,3.9892862417533055e-07,5.648567104317265e-07,1.258511822378837e-11,1.575018667897644e-09,1.575018667897644e-09,1.575018667897644e-09,1.5445889693334747e-10,5.267695564940595e-11,3.8514932184096695e-10,1.923976626581073e-10,8.947159201885381e-11,3.37115724474393e-11,3.447305737801676e-11,1.1679817178515332e-11,1.2047396003960348e-11,4.235282412502118e-12,9.97325628736057e-11,9.181562115217459e-11,3.4024731504080634e-11,3.7147691140104266e-11,3.4311591067112695e-11,1.2028468437575491e-11,1.2770842636391658e-11,1.2162224242282445e-11,4.341164472814672e-12,4.317180138710722e-12
Sisak - Kupa,1.165656558271899e-06,1.727006286995094e-07,3.3152210321522264e-08,3.149493617121645e-08,3.164257389008615e-08,3.221446411343393e-07,2.385571800777703e-08,5.162118584748627e-08,2.2244070426205808e-09,3.566615176965394e-08,4.969884650813014e-08,1.6955997606900495e-12,1.0610155696915266e-09,7.073437131276845e-10,8.488124557532213e-10,1.8035619701798064e-10,3.54859731171148e-11,2.940511289504389e-09,4.5795252039878834e-10,7.634552013584834e-11,7.721363150386548e-11,6.657222158329584e-11,6.137149445597128e-11,6.925449199881397e-11,1.9020729397464605e-12,1.3437021944048674e-11,9.483948891467138e-11,4.278559051411338e-11,2.6692951717440197e-11,3.6982553245989735e-11,4.3216054266738294e-12,2.294163347854789e-12,1.0924153511032136e-12,1.3647373342680856e-12,5.816560067125225e-13
Sisak - Sava,1.3840182222467473e-06,2.893369876460398e-07,3.8892200455703176e-08,3.954871060415187e-08,5.1056133716370886e-08,3.0954552791862834e-07,2.9047391571444615e-08,4.111782259284665e-08,8.692244184254588e-09,4.5381731060248215e-08,6.458600128865188e-08,3.4323049701241e-12,2.1477527289513324e-09,4.295505457902665e-10,1.9329774560561992e-09,2.7381349910911597e-10,1.5084764572329888e-10,8.403257931075644e-10,5.247208981584744e-11,8.54047014725423e-11,5.056735867115897e-11,9.401742921277298e-12,1.592702342524818e-11,2.7928054372817164e-11,3.4652310647744595e-12,2.7199789874619736e-11,2.5040623950593074e-11,0.0,1.013118849275571e-11,9.3577066546671e-12,3.280491392066042e-12,3.4829570826522703e-12,3.3169702478952118e-12,1.1839539471312739e-12,1.1774127651029242e-12
Zagreb - Sava,2.2202883947878404e-05,3.589615356733319e-06,1.2145868974013515e-06,1.521106562907259e-06,6.296923158352411e-07,2.2117098721399342e-06,7.478716017931596e-07,1.5456529360231069e-06,9.349709350593666e-08,8.094426851360149e-07,1.0885065591048652e-06,4.1950394079294563e-11,1.2468897787523016e-08,7.2188355611975345e-09,1.3781413344104384e-08,1.3515153481667906e-09,5.267695564940596e-10,2.5676621456064473e-08,1.282651084387382e-09,7.455966001571152e-11,1.6855786223719655e-10,1.2927396516756285e-10,1.5086430522248972e-10,1.2047396003960348e-10,4.588222613543962e-11,8.31104690613381e-11,7.651301762681217e-11,4.820170296411425e-10,1.083474324919708e-10,2.0015094789149082e-10,3.508303294292852e-11,1.0642368863659715e-11,1.0135186868568704e-11,3.6176370606788935e-12,3.5976501155922687e-12
