,Flu,Pir,BaA,Kri,BjF,BbF,BkF,BaP,DahA,BghiP,IP,HCB,α-HCH,β-HCH,γ-HCH,DDE,DDD,DDT,PCB-28,PCB-52,PCB-101,PCB-118,PCB-153,PCB-138,PCB-180,PCB-74,PCB-60,PCB-123,PCB-114,PCB-105,PCB-167,PCB-156,PCB-157,PCB-170,PCB-189
Kuželj - Kupa,3.81278514715917e-07,4.228559988517758e-07,2.0586326928468536e-08,1.1811488230414758e-07,2.7324000333593203e-08,1.2155513610305762e-07,1.0645415168618462e-08,2.7113280227822504e-08,4.427707104825827e-09,1.8132889476068458e-08,1.897912884031158e-08,1.805310091844642e-10,2.5807110191040525e-08,3.154202356682731e-08,5.734913375786784e-09,3.894840543189669e-10,9.92505515105351e-11,3.6728512514383045e-11,4.011275895903637e-09,1.2914955260091775e-10,1.8413243245597632e-11,1.810738751440716e-11,3.6079736854461834e-12,3.0280494227641198e-12,6.412355203566724e-13,1.2025124414557044e-10,9.873231517293511e-11,1.434127778549053e-11,1.6749416253952264e-11,1.5462522570137965e-11,3.0911337857383724e-12,2.9902047182146542e-12,2.8974115048882835e-12,6.420785580169605e-13,6.467551772112572e-13
Brod na Kupi - Kupica,9.548750403769528e-08,1.3838564668305078e-07,3.262179057092252e-09,1.0021409099681463e-07,1.9287529647242257e-09,5.7142330417206014e-08,3.005764282904036e-09,2.4570063163527536e-09,2.846383138816603e-09,8.429423294022018e-09,6.647251907756187e-09,3.1858413385493684e-11,1.1132478905939048e-08,7.590326526776624e-09,2.1252914274974547e-08,1.7183120043483829e-10,1.7514803207741483e-11,6.481502208420537e-12,2.6899144243118495e-09,2.2791097517809018e-11,3.2493958668701704e-12,3.1954213260718517e-12,6.367012386081498e-13,5.343616628407269e-13,1.1315920947470687e-13,2.122080779039478e-11,1.7423349736400313e-11,2.5308137268512693e-12,2.955779338932752e-12,2.7286804535537584e-12,5.454941974832421e-13,5.276831855672918e-13,5.113079126273441e-13,1.1330798082652242e-13,1.1413326656669243e-13
Karlovac - Kupa,4.1249997392992986e-06,3.0002639918530755e-06,7.133792474395831e-07,1.2928163864425585e-06,3.4592184422329e-07,1.0946091079666937e-06,2.5229633949625756e-07,6.789311927318256e-07,2.3403594696936517e-08,1.2013039277895352e-07,1.8649899054306175e-07,2.7079651377669626e-10,3.4409480254720696e-08,3.4409480254720696e-08,5.5915405413921134e-08,1.0223956425872881e-09,1.5631961862909274e-09,5.509276877157457e-11,2.3666527785831453e-08,1.9372432890137664e-10,2.7619864868396446e-10,2.716108127161074e-11,5.4119605281692745e-12,4.542074134146179e-12,9.618532805350082e-13,6.313190317642447e-10,1.4069354912143254e-09,1.936072501041221e-10,7.537237314278518e-11,1.0437202734843125e-10,4.6367006786075574e-12,4.485307077321981e-12,4.346117257332425e-12,9.631178370254407e-13,9.701327658168856e-13
ušće u Kupu - Korana,9.270031315051907e-08,7.349486738034054e-08,1.5654126151924633e-08,6.8338047595006e-08,1.6529148694951723e-09,1.530248611054493e-08,3.0565466018389444e-09,8.87380219229733e-09,6.065352198391546e-10,1.8445684119491249e-09,2.843951092649429e-09,2.720330275382337e-10,1.4140882296460562e-09,3.2995392025074646e-09,2.8281764592921125e-09,5.335398004369409e-12,5.43838638413891e-12,1.2075127401988946e-11,2.344490021350071e-10,7.076687813748918e-12,2.7745982972818346e-11,8.433577746436213e-12,1.976971882436265e-13,1.6592051631584218e-13,3.513619289625602e-14,4.612376487775304e-11,5.4099898724895945e-12,7.858234403008509e-13,8.71887421438611e-12,8.472615106924911e-13,1.6937719373908888e-13,1.6384683387477557e-13,1.587622742404539e-13,3.5182386740655364e-14,3.543863984719217e-14
ZG županija - Kupčina,2.1695291028547876e-08,2.316832481018512e-08,3.710785129548871e-09,6.09517092643042e-09,1.7176671072650672e-09,3.8577409572441614e-09,1.1153368988846959e-09,3.496567898772555e-09,1.6054050416337303e-10,1.201700233185586e-09,1.3035494065188623e-09,1.0996812742200867e-11,6.986696498420446e-10,4.366685311512779e-09,1.3973392996840892e-09,5.9312292535883284e-12,6.0457188737381796e-12,2.2372697978304395e-12,3.2578890525105676e-11,7.866977823406159e-12,1.1216188779044244e-12,1.1029880719435836e-12,2.1977504682920915e-13,1.8444971103131696e-13,3.906003169685314e-14,7.32494888196368e-12,6.014151178046809e-12,8.735803727202353e-13,1.0202690103930315e-12,9.418795474195717e-13,1.882924133444694e-13,1.8214444984048653e-13,1.7649207136375333e-13,3.911138424468795e-14,3.939625444941669e-14
Stubičke Toplice - Vidak,2.610917847665882e-07,2.6166782018498894e-07,1.279199114653543e-08,4.896113220715495e-08,1.4446647579361277e-08,4.3688498434331106e-08,9.685738935507184e-09,1.2512138999850318e-08,1.6426887766304777e-09,8.735662342948401e-09,1.0405858030021579e-08,3.2333912092739855e-11,3.0814459929600626e-09,4.622168989440093e-09,4.108594657280083e-09,3.487916904348956e-11,1.7776218180991357e-11,6.578241047352187e-12,7.184374738931885e-10,2.313126315240318e-11,3.2978943126443518e-12,3.2431141816848645e-12,6.462042421694656e-13,5.42337210047305e-13,1.148481528997025e-13,2.1537536264878283e-11,1.7683399732465985e-11,2.568587066058005e-12,2.9998954484690623e-12,2.7694070274873966e-12,5.536359019232906e-13,5.355590540085947e-13,5.189393740098417e-13,1.1499914471945558e-13,1.1583674815724007e-13
 Istra - Mirna,3.382507689280774e-08,2.4782769163474034e-08,2.6371181748242265e-09,4.5230421843039364e-09,2.9055921585507103e-09,2.021571132294419e-08,1.3167559685491142e-09,1.533224994172083e-09,8.660789721527443e-10,1.9062781244071964e-09,1.5373988197175468e-09,1.6664400847796694e-11,3.44094802547207e-09,5.293766193033954e-10,2.1175064772135814e-09,1.6627973088232816e-10,9.161589370203237e-12,3.390324232096896e-12,4.9369549488044754e-11,1.1921497163161638e-11,1.6996839919013196e-12,1.6714511551760453e-12,3.3304372481041685e-13,2.795122544089956e-13,5.919097110984668e-14,1.1100114844206499e-11,9.113752169809393e-12,1.3238102571222025e-12,6.957449828564786e-12,1.4273097757050428e-12,2.8533542637584976e-13,2.76018897065968e-13,2.6745336968199537e-13,5.926878997079633e-14,5.970047789642373e-14
 Istra - Mala Huba,1.0238391098172961e-07,1.0948405165075869e-07,7.3331628390834104e-09,1.667929773364302e-08,6.046765788109456e-09,9.113650387733337e-08,3.5337248274011407e-09,8.16538941223998e-09,1.0925511037881913e-09,4.61826117247631e-09,4.768675892026339e-09,1.4067351365023184e-11,4.692201852916458e-09,4.468763669444246e-10,5.362516403333095e-09,3.224624475692745e-10,7.733809208613124e-12,2.86196201410777e-12,4.3759373409857846e-10,1.0063601501370215e-11,1.4347981749816335e-12,1.4109652608628958e-12,1.4057040332907205e-12,2.359519030725288e-13,4.9966404183636795e-14,9.370226816537954e-12,7.693427156332606e-12,1.1175021651031583e-12,9.7886198886734e-12,1.204871888582179e-12,2.4086756771987314e-13,2.330029650556873e-13,2.2577232505622984e-13,5.003209542989301e-14,5.039650731516289e-14
 Istra - Boljunčica,7.325788697223293e-08,7.305379690307882e-08,9.571637365144199e-09,1.9824104035858448e-08,3.6305280443243834e-09,4.06634572948336e-08,2.4253032818939454e-09,5.69240822644452e-09,1.475902368275276e-09,6.409290241541104e-09,5.843618196617674e-09,1.5698348624736017e-11,4.986881196336333e-10,4.986881196336333e-10,4.986881196336333e-10,8.890396892063373e-11,8.630482740046529e-12,3.1937836969028737e-12,5.580905594300711e-10,1.1230395878340677e-11,1.6011515865737072e-12,1.5745554360354055e-12,3.1373684221271157e-13,2.6330864545774955e-13,5.575961046579759e-14,1.0456629925701776e-11,8.58541871069001e-12,1.2470676335209156e-12,1.4564709786045446e-12,1.344567180011997e-12,2.687942422381193e-13,2.6001780158388293e-13,2.519488265120247e-13,5.583291808843134e-14,5.623958062706583e-14
Jurovo - Kupa ,4.9415914180880746e-08,4.9084073486348886e-08,4.855970944439054e-09,2.547917143925299e-08,2.317343439334923e-09,2.8485901256382886e-08,1.708491170619994e-09,5.250922120062458e-09,5.820824414757882e-10,3.4362258175508053e-09,3.428932379688195e-09,1.9935939664542056e-11,1.6888088468574579e-09,6.333033175715467e-10,2.9554154820005515e-09,8.602101813179634e-11,3.2880550807171134e-11,7.706227779091413e-11,2.756214112522744e-09,9.507942522766954e-11,4.134507379072843e-11,3.1993420884351305e-11,7.0388689078029826e-12,1.0477422542570327e-11,2.3603761485521685e-14,6.639639247301436e-11,1.272011422473397e-10,1.1085895711483478e-11,1.2330858591866697e-12,1.593683307842441e-11,2.2756813146540163e-13,2.2013777066610947e-13,2.1330636845803314e-13,7.090438063990974e-14,4.761387807690237e-14
HE - Kupa ,4.0906505842199984e-08,4.636538236257859e-08,3.856669165946517e-09,5.454966592639178e-08,9.851750166360976e-10,1.5240169951100157e-08,1.713077869530676e-09,3.971256389079494e-09,4.022538383581068e-10,2.4279316938002574e-09,2.848743499401607e-09,4.99164080694371e-12,1.5856903343189261e-10,1.5856903343189261e-10,1.5856903343189261e-10,1.3192201839835972e-10,2.332616648404281e-11,1.7771860894056312e-11,2.4252506799196177e-09,3.6602292557402963e-10,9.92787769463098e-11,1.0063368360541492e-10,2.454087170377219e-11,2.1098666945711283e-11,2.482202014283893e-13,1.2135955054322545e-10,2.7981739092790363e-10,3.5489705856259975e-11,3.2418225007649545e-12,4.339482140651622e-11,3.1196234980493247e-12,7.027670075066698e-13,8.01127605038235e-14,1.0651994510880448e-13,1.7882631627961028e-14
Doljani - Neretva,1.1346899274955709e-07,9.808055464696664e-08,2.1914712068243488e-08,3.248554301400893e-08,1.0992777012821312e-08,3.711307929709909e-08,7.69423533343383e-09,2.1094225204586163e-08,9.579349805651255e-10,7.34283032412406e-09,8.83916487690812e-09,7.5134292839777e-11,1.5911898383685873e-09,3.9779745959214683e-10,7.955949191842937e-10,3.7147323099785855e-11,6.884431318649833e-12,2.5476424865468012e-12,2.411402850716637e-10,5.375010281656693e-11,1.9158287769985972e-12,1.2560037582247742e-12,1.2513203533339363e-12,3.150571653743014e-12,4.0030887976023474e-13,3.753507042694105e-11,1.7121210723630368e-11,5.471238923944364e-12,1.1618092199273248e-12,1.0725449181598591e-12,2.1441390421306628e-13,1.1407717422090586e-12,2.0097652057028556e-13,4.453724101851749e-14,4.486163078922015e-14
