,Flu,Pir,BaA,Kri,BjF,BbF,BkF,BaP,DahA,BghiP,IP,HCB,α-HCH,β-HCH,γ-HCH,DDE,DDD,DDT,PCB-28,PCB-52,PCB-101,PCB-118,PCB-153,PCB-138,PCB-180,PCB-74,PCB-60,PCB-123,PCB-114,PCB-105,PCB-167,PCB-156,PCB-157,PCB-170,PCB-189
Kuželj - Kupa,3.222950151649396e-06,1.3475598463408327e-07,1.4041242322723705e-08,6.828204837856113e-08,8.173611035041767e-07,3.918831887844227e-06,2.9509920360280657e-07,3.781428625477044e-08,1.0917008233012787e-08,8.7873270636448e-08,1.3717692567358535e-06,3.773117908751041e-10,2.2210741193829696e-07,2.7146461459125185e-07,4.9357202652954883e-08,1.1901144783375623e-08,1.1981921784167766e-11,1.0794316520016575e-09,3.2072799948803688e-09,4.4884762543269784e-10,2.3240877832577928e-10,1.8240848338716535e-10,1.2675695629994702e-10,1.2845839195497986e-10,7.81409605106641e-11,2.837275145222235e-10,2.8299436848986635e-10,1.56261192253169e-10,1.5679633332252916e-10,1.8313811732071405e-10,1.1259000236054116e-10,1.1393035953150001e-10,1.1393035953150001e-10,7.973567399047357e-11,7.371788727421141e-11
Brod na Kupi - Kupica,8.071565895817965e-07,4.410081476586944e-08,2.225022793036649e-09,5.7933625942560315e-08,5.769607789441245e-08,1.8422190436677502e-06,8.332212807608655e-08,3.426731822769339e-09,7.018076721222506e-09,4.0849584143904345e-08,4.80448596221711e-07,6.658443368384191e-11,9.581104044397122e-08,6.532570939361673e-08,1.8291198630212685e-07,5.250505051489245e-09,2.11445678544137e-12,1.9048793858852778e-10,2.1507642318609526e-09,7.920840448812314e-11,4.101331382219634e-11,3.218973236244094e-11,2.2368874641167117e-11,2.2669127992055268e-11,1.3789581266587778e-11,5.0069561386274734e-11,4.99401826746823e-11,2.757550451526511e-11,2.7669941174563965e-11,3.2318491291890705e-11,1.986882394597785e-11,2.010535756438235e-11,2.010535756438235e-11,1.4071001292436512e-11,1.3009038930743188e-11
Karlovac - Kupa,3.486865381133261e-05,9.56125795737067e-07,4.86572029877242e-07,7.473753461173077e-07,1.0347791570362876e-05,3.528924580683928e-05,6.993851125386516e-06,9.468901679741841e-07,5.770418637449616e-08,5.821604179664679e-07,1.3479732594251294e-05,5.65967686312656e-10,2.9614321591772925e-07,2.9614321591772925e-07,4.812327258663101e-07,3.124050505636101e-08,1.887152681006423e-10,1.6191474780024865e-09,1.8922951969794174e-08,6.732714381490467e-10,3.486131674886688e-09,2.7361272508074807e-10,1.901354344499205e-10,1.9268758793246976e-10,1.1721144076599614e-10,1.4895694512416733e-09,4.0326697509805955e-09,2.109526095417781e-09,7.05583499951381e-10,1.2361822919148195e-09,1.6888500354081173e-10,1.7089553929724998e-10,1.7089553929724998e-10,1.1960351098571032e-10,1.1057683091131708e-10
ušće u Kupu - Korana,7.835964440561732e-07,2.3421385167248795e-08,1.0677153793069187e-08,3.9506129803041406e-08,4.944474839828004e-08,4.933388456943072e-07,8.472985352760036e-08,1.2376093687233272e-08,1.4954805798647653e-09,8.938909570069925e-09,2.055544650853837e-07,5.685520136474171e-10,1.2170269147303943e-08,2.8397294677042534e-08,2.4340538294607887e-08,1.630293805941866e-10,6.565436594064528e-13,3.548816390142435e-10,1.87457460887985e-10,2.459439043466837e-11,3.5020500843610573e-10,8.495737582415922e-11,6.945586646572439e-12,7.038815997533143e-12,4.281696466337757e-12,1.0882699187153779e-10,1.550654073917076e-11,8.562257109762684e-12,8.162000912679599e-11,1.0034965332641864e-11,6.169315197837873e-12,6.242759426383563e-12,6.242759426383563e-12,4.369078026875263e-12,4.039336288997885e-12
ZG županija - Kupčina,1.8339045818680417e-07,7.383294621801356e-09,2.531001931165363e-09,3.523609793746598e-09,5.1381725410130565e-08,1.2437021390419764e-07,3.0918007930771205e-08,4.876585139180163e-09,3.958306103340387e-10,5.823524703769115e-09,9.421765432672444e-08,2.2983459342645937e-11,6.013060221679783e-09,3.7581626385498636e-08,1.2026120443359565e-08,1.8123570736105012e-10,7.298632558883919e-13,6.575218184781672e-11,2.604897457770858e-11,2.7340972107575503e-11,1.4156879898017014e-11,1.1111176653025305e-11,7.721235916748042e-12,7.82487666730842e-12,4.759855462578523e-12,1.7282894285617673e-11,1.723823564405277e-11,9.518448259076285e-12,9.551045684621066e-12,1.1155621359637405e-11,6.8582742554644376e-12,6.9399203775533e-12,6.9399203775533e-12,4.8569953699780845e-12,4.490429681677853e-12
Stubičke Toplice - Vidak,2.207010819728096e-06,8.338844630756348e-08,8.724987614485641e-09,2.830436209917543e-08,4.32152234784059e-07,1.408479199524196e-06,2.684962306212998e-07,1.745040075653787e-08,4.0502333316507995e-09,4.233364033148946e-08,7.52112294281004e-07,6.757823120151118e-11,2.652028799263247e-08,3.97804319889487e-08,3.5360383990176625e-08,1.0657741597052795e-09,2.1460158419404948e-12,1.933310421495506e-10,5.74438208038275e-10,8.039061948048317e-11,4.1625452834467926e-11,3.2670176129044544e-11,2.2702738441781552e-11,2.3007473185966543e-11,1.3995395912357746e-11,5.081686827263704e-11,5.068555853549844e-11,2.7987079209522803e-11,2.8082925371199252e-11,3.2800856833560723e-11,2.016537355711185e-11,2.040543752802985e-11,2.040543752802985e-11,1.428101623709974e-11,1.3203203690903532e-11
 Istra - Mirna,2.859236292987902e-07,7.897786645220997e-09,1.7986897543708857e-09,2.614764365185074e-09,8.691692226801334e-08,6.517369541723094e-07,3.6501501491793306e-08,2.138354648918411e-09,2.135414797226677e-09,9.237959220754787e-09,1.1111977024736269e-07,3.4828780696163454e-11,2.9614321591772924e-08,4.556049475657373e-09,1.822419790262949e-08,5.080873349825746e-09,1.1060235493077936e-12,9.963984480015301e-11,3.947421532160453e-11,4.1432088501479794e-11,2.1453117999302697e-11,1.6837706158815266e-11,1.1700642119995109e-11,1.1857697718921217e-11,7.213011739445915e-12,2.61902321097437e-11,2.6122557091372276e-11,1.4424110054138672e-11,6.51307846108967e-11,1.6905056983450523e-11,1.0392923294819185e-11,1.0516648572138462e-11,1.0516648572138462e-11,7.360216060659097e-12,6.804728056081052e-12
 Istra - Mala Huba,8.654519693324025e-07,3.489043840453692e-08,5.001704129801394e-09,9.642278708252548e-09,1.8088095069754761e-07,2.9381616358714215e-06,9.795760576737317e-08,1.1388086208000362e-08,2.69380722632783e-09,2.238042174218336e-08,3.4466929641812597e-07,2.940091876948863e-11,4.0383165806963076e-08,3.846015791139341e-09,4.615218949367208e-08,9.853220518703845e-09,9.336562429221636e-13,8.411155729883047e-11,3.4988509035058563e-10,3.4975139644106314e-11,1.8109774934476305e-11,1.4213648056142759e-11,4.9385827129849486e-11,1.0009744827660769e-11,6.08890601381798e-12,2.2108637495238193e-11,2.2051509232976598e-11,1.2176196798948234e-11,9.163422077290665e-11,1.4270502648367329e-11,8.773246937185025e-12,8.877690353103896e-12,8.877690353103896e-12,6.213169401855082e-12,5.744250956432056e-12
 Istra - Boljunčica,6.192494693874653e-07,2.328082458251588e-08,6.5284924375396826e-09,1.1460286836272646e-08,1.0860241444820713e-07,1.3109545036573527e-06,6.723129682081332e-08,7.939074591679183e-09,3.6390027443375955e-09,3.1059875852979606e-08,4.223637374333107e-07,3.280972094566123e-11,4.291930665474337e-09,4.291930665474337e-09,4.291930665474337e-09,2.7165656570748697e-09,1.0419062421015448e-12,9.386362191318762e-11,4.462302601572687e-10,3.903022829849547e-11,2.020945898485037e-11,1.586160725105786e-11,1.102234402608235e-11,1.1170294952606945e-11,6.794866131362094e-12,2.4671957784541173e-11,2.4608205955640554e-11,1.3587929761145128e-11,1.3634463767176446e-11,1.592505368006209e-11,9.790434987873144e-12,9.906987785347827e-12,9.906987785347827e-12,6.933536868736832e-12,6.4102510673227314e-12
Jurovo - Kupa ,4.177130941192119e-07,1.564213980755938e-08,3.3120947209229328e-09,1.472947339845619e-08,6.932024475363029e-08,9.183606861568655e-07,4.7360706541407494e-08,7.323343781391457e-09,1.435189513542435e-09,1.6652194435536842e-08,2.4783561255413006e-07,4.1666332734674076e-11,1.4534636364060335e-08,5.450488636522625e-09,2.5435613637105588e-08,2.628473694487868e-09,3.969471020521837e-12,2.264819785181392e-09,2.2037752112061422e-09,3.3043996964370397e-10,5.218503856885596e-10,3.222922896656664e-10,2.472927122906942e-10,4.444817979301143e-10,2.876354374625672e-12,1.5665936384662647e-10,3.6459397167406093e-10,1.2079086026932081e-10,1.1543288342762883e-11,1.887558509808587e-10,8.288834529610393e-12,8.387511131153375e-12,8.387511131153375e-12,8.805166452935732e-12,5.4270837257088155e-12
