No.	Id	SMILES	Assessment	Predicted BCF [log(L/kg)]	Predicted BCF [L/kg]	Predicted LogP (Meylan/Kowwin)	Predicted LogP reliability	MW	Ionic compound	Experimental	ADI	Similarity index	Accuracy index	Concordance index	Max error index	LogP reliability	Descriptors range check	ACF index	Remarks
1	Molecule 1	c1ccc2c(c1)c4cccc3cccc2c34	3.07  log(L/kg) (GOOD reliability)	3.07	1179	5.16	Experimental	201.78	no	-	1	0.952	0.329	0.448	0.488	1	True	1	-
2	Molecule 2	c1cc2ccc3cccc4ccc(c1)c2c34	3.18  log(L/kg) (EXPERIMENTAL value)	2.89	771	4.88	Experimental	201.78	no	3.18	1	1	0.293	0.293	0.293	1	True	1	-
3	Molecule 3	c3ccc4cc2c(ccc1ccccc12)cc4(c3)	2.41  log(L/kg) (EXPERIMENTAL value)	3.47	2934	5.76	Experimental	227.73	no	2.41	0.75	1	1.057	1.057	1.057	1	True	1	-
4	Molecule 4	c1ccc2c(c1)ccc3c4ccccc4(ccc23)	3.5  log(L/kg) (LOW reliability)	3.5	3165	5.81	Experimental	227.73	no	-	0.75	0.985	0.675	0.705	1.057	1	True	1	-
5	Molecule 5	c1ccc4c(c1)ccc5c3cccc2cccc(c23)c45	3.7  log(L/kg) (GOOD reliability)	3.7	4986	6.11	Good	251.75	no	-	1	0.934	0.329	0.178	0.488	1	True	1	-
6	Molecule 6	c1ccc3c(c1)cc5c2ccccc2c4cccc3c45	3.48  log(L/kg) (GOOD reliability)	3.48	3024	5.78	Experimental	251.75	no	-	1	0.934	0.329	0.04	0.488	1	True	1	-
7	Molecule 7	c1ccc2cc3c5cccc4cccc(c3(cc2(c1)))c45	3.7  log(L/kg) (GOOD reliability)	3.7	4993	6.11	Experimental	251.75	no	-	1	0.934	0.329	0.178	0.488	1	True	1	-
8	Molecule 8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	3.71  log(L/kg) (LOW reliability)	3.71	5147	6.13	Experimental	251.75	no	-	0.75	0.958	0.675	0.917	1.057	1	True	1	-
9	Molecule 9	c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45	4.12  log(L/kg) (LOW reliability)	4.12	13202	6.75	Experimental	277.69	no	-	0.75	0.938	0.675	1.326	1.057	1	True	1	-
10	Molecule 10	c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56	4.04  log(L/kg) (LOW reliability)	4.04	11002	6.63	Experimental	275.77	no	-	0.75	0.931	0.675	1.246	1.057	1	True	1	-
11	Molecule 11	c1ccc2c(c1)c3ccc4ccc5cccc6cc2c3c4c56	4.09  log(L/kg) (MODERATE reliability)	4.09	12181	6.7	Moderate	275.77	no	-	0.85	0.911	0.329	0.566	0.488	0.7	True	1	-
12	Molecule 12	c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl	4.33  log(L/kg) (EXPERIMENTAL value)	3.45	2803	5.73	Experimental	284.66	no	4.33	0.85	1	0.882	0.882	0.882	1	True	1	-
13	Molecule 13	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	3.06  log(L/kg) (EXPERIMENTAL value)	2.21	164	3.86	Experimental	290.43	no	3.06	0.85	1	0.846	0.846	0.846	1	True	1	-
14	Molecule 14	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	3.06  log(L/kg) (EXPERIMENTAL value)	2.21	164	3.86	Experimental	290.43	no	3.06	0.85	1	0.846	0.846	0.846	1	True	1	-
