No.	Id	SMILES	Assessment	Predicted toxicity [-log(mol/l)]	Predicted toxicity [mg/l]	Molecular Weight	Experimental value [mg/l]	Experimental	ADI	Similarity index	Accuracy index	Concordance index	Max error index	Descriptors range check	ACF index	Remarks
1	Molecule 1	c1ccc2c(c1)c4cccc3cccc2c34	0.0925 mg/L (EXPERIMENTAL value)	5.65	0.4538	202.26	0.0925	6.34	0.85	1	0.492	0.691	0.492	True	1	-
2	Molecule 2	c1cc2ccc3cccc4ccc(c1)c2c34	0.5075 mg/L (GOOD reliability)	5.6	0.5075	202.26	-	-	1	0.911	0.249	0.49	0.492	True	1	-
3	Molecule 3	c3ccc4cc2c(ccc1ccccc12)cc4(c3)	0.3703 mg/L (GOOD reliability)	5.79	0.3703	228.3	-	-	1	0.889	0.249	0.49	0.492	True	1	-
4	Molecule 4	c1ccc2c(c1)ccc3c4ccccc4(ccc23)	0.392 mg/L (GOOD reliability)	5.77	0.392	228.3	-	-	1	0.889	0.249	0.49	0.492	True	1	-
5	Molecule 5	c1ccc4c(c1)ccc5c3cccc2cccc(c23)c45	0.1709 mg/L (LOW reliability)	6.17	0.1709	252.32	-	-	0	0.863	0.343	0.715	0.492	False	1	-
6	Molecule 6	c1ccc3c(c1)cc5c2ccccc2c4cccc3c45	0.1526 mg/L (LOW reliability)	6.22	0.1526	252.32	-	-	0	0.863	0.343	0.715	0.492	False	1	-
7	Molecule 7	c1ccc2cc3c5cccc4cccc(c3(cc2(c1)))c45	0.1618 mg/L (LOW reliability)	6.19	0.1618	252.32	-	-	0	0.863	0.343	0.715	0.492	False	1	-
8	Molecule 8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	0.177 mg/L (LOW reliability)	6.15	0.177	252.32	-	-	0	0.865	0.249	0.49	0.492	False	1	-
9	Molecule 9	c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45	0.1404 mg/L (MODERATE reliability)	6.3	0.1404	278.36	-	-	0.85	0.846	0.249	0.49	0.492	True	1	-
10	Molecule 10	c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56	0.0983 mg/L (LOW reliability)	6.45	0.0983	276.34	-	-	0	0.842	0.249	0.599	0.492	False	1	-
11	Molecule 11	c1ccc2c(c1)c3ccc4ccc5cccc6cc2c3c4c56	0.0812 mg/L (LOW reliability)	6.53	0.0812	276.34	-	-	0	0.841	0.343	0.907	0.492	False	1	-
12	Molecule 12	c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl	4.37 mg/L (MODERATE reliability)	4.81	4.37	284.76	-	-	0.85	0.932	0.848	0.304	0.872	True	1	-
13	Molecule 13	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	1.79 mg/L (EXPERIMENTAL value)	3.89	37.61	290.82	1.79	5.21	0.7	1	0.566	1.322	0.566	True	1	-
14	Molecule 14	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	1.79 mg/L (EXPERIMENTAL value)	3.89	37.61	290.82	1.79	5.21	0.7	1	0.566	1.322	0.566	True	1	-
15	Molecule 15	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	1.79 mg/L (EXPERIMENTAL value)	3.89	37.61	290.82	1.79	5.21	0.7	1	0.566	1.322	0.566	True	1	-
16	Molecule 16	c1cc(ccc1C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl	0.2743 mg/L (LOW reliability)	6.06	0.2743	318.02	-	-	0.533	0.889	0.858	0.826	1.341	True	0.6	-
17	Molecule 17	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)Cl)Cl	0.8043 mg/L (LOW reliability)	5.6	0.8043	320.04	-	-	0.7	0.944	0.858	1.29	1.341	True	0.85	-
