Prediction and Applicability Domain analysis for model:
Fathead Minnow LC50 96h (EPA) (version 1.0.10)
(calculation core version : 1.3.18)

No.	Id	SMILES	Assessment	Predicted toxicity [-log(mol/l)]	Predicted toxicity [mg/l]	Molecular Weight	Experimental value [mg/l]	Experimental	ADI	Similarity index	Accuracy index	Concordance index	Max error index	Descriptors range check	ACF index	Remarks
1	Molecule 1	c1ccc2c(c1)c4cccc3cccc2c34	0.0532 mg/L (EXPERIMENTAL value)	6.23	0.1196	202.26	0.0532	6.58	1	1	0.352	0.352	0.352	True	1	-
2	Molecule 2	c1cc2ccc3cccc4ccc(c1)c2c34	1.44 mg/L (MODERATE reliability)	5.15	1.44	202.26	-	-	0.85	0.876	0.502	1.13	0.652	True	1	-
3	Molecule 3	c3ccc4cc2c(ccc1ccccc12)cc4(c3)	0.6775 mg/L (MODERATE reliability)	5.53	0.6775	228.3	-	-	0.85	0.853	0.502	1.13	0.652	True	1	-
4	Molecule 4	c1ccc2c(c1)ccc3c4ccccc4(ccc23)	0.6511 mg/L (MODERATE reliability)	5.54	0.6511	228.3	-	-	0.85	0.853	0.502	1.13	0.652	True	1	-
5	Molecule 5	c1ccc4c(c1)ccc5c3cccc2cccc(c23)c45	0.0139 mg/L (LOW reliability)	7.26	0.0139	252.32	-	-	0.7	0.863	0.32	1.61	0.352	True	1	-
6	Molecule 6	c1ccc3c(c1)cc5c2ccccc2c4cccc3c45	0.0138 mg/L (LOW reliability)	7.26	0.0138	252.32	-	-	0.7	0.863	0.32	1.613	0.352	True	1	-
7	Molecule 7	c1ccc2cc3c5cccc4cccc(c3(cc2(c1)))c45	0.0154 mg/L (LOW reliability)	7.21	0.0154	252.32	-	-	0.7	0.863	0.32	1.564	0.352	True	1	-
8	Molecule 8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	0.2668 mg/L (MODERATE reliability)	5.98	0.2668	252.32	-	-	0.85	0.828	0.502	1.13	0.652	True	1	-
9	Molecule 9	c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45	0.1454 mg/L (MODERATE reliability)	6.28	0.1454	278.36	-	-	0.85	0.809	0.502	1.13	0.652	True	1	-
10	Molecule 10	c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56	0.0929 mg/L (MODERATE reliability)	6.47	0.0929	276.34	-	-	0.85	0.804	0.502	1.13	0.652	True	1	-
11	Molecule 11	c1ccc2c(c1)c3ccc4ccc5cccc6cc2c3c4c56	0.0054 mg/L (LOW reliability)	7.71	0.0054	276.34	-	-	0.7	0.841	0.32	2.061	0.352	True	1	-
12	Molecule 12	c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl	0.1822 mg/L (MODERATE reliability)	6.19	0.1822	284.76	-	-	0.85	0.932	0.441	0.329	0.645	True	1	-
