Prediction and Applicability Domain analysis for model:
Persistence (sediment) model (IRFMN) (version 1.0.1)
(calculation core version : 1.3.18)

No.	Id	SMILES	Assessment	Predicted persistence in sediment	Molecules used for prediction	Experimental	Structural Alerts	ADI	Similarity index	Accuracy index	Concordance index	Structural alerts concordance	ACF index	Remarks
1	Molecule 1	c1ccc2c(c1)c4cccc3cccc2c34	vP (EXPERIMENTAL value)	vP	1	vP	vP (sediment) alert no. 1	1	1	1	1	1	1	-
2	Molecule 2	c1cc2ccc3cccc4ccc(c1)c2c34	vP (EXPERIMENTAL value)	vP	1	vP	vP (sediment) alert no. 1	1	1	1	1	1	1	-
3	Molecule 3	c3ccc4cc2c(ccc1ccccc12)cc4(c3)	vP (EXPERIMENTAL value)	vP	1	vP	vP (sediment) alert no. 1	1	1	1	1	1	1	-
4	Molecule 4	c1ccc2c(c1)ccc3c4ccccc4(ccc23)	vP (EXPERIMENTAL value)	vP	1	vP	vP (sediment) alert no. 1	1	1	1	1	1	1	-
5	Molecule 5	c1ccc4c(c1)ccc5c3cccc2cccc(c23)c45	vP (GOOD reliability)	vP	4	-	vP (sediment) alert no. 1	0.956	0.914	1	1	1	1	-
6	Molecule 6	c1ccc3c(c1)cc5c2ccccc2c4cccc3c45	vP (GOOD reliability)	vP	4	-	vP (sediment) alert no. 1	0.956	0.914	1	1	1	1	-
7	Molecule 7	c1ccc2cc3c5cccc4cccc(c3(cc2(c1)))c45	vP (EXPERIMENTAL value)	vP	1	vP	vP (sediment) alert no. 1	1	1	1	1	1	1	-
8	Molecule 8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	vP (EXPERIMENTAL value)	vP	1	vP	vP (sediment) alert no. 1	1	1	1	1	1	1	-
9	Molecule 9	c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45	vP (EXPERIMENTAL value)	vP	1	vP	vP (sediment) alert no. 1	1	1	1	1	1	1	-
10	Molecule 10	c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56	vP (EXPERIMENTAL value)	vP	1	vP	vP (sediment) alert no. 1	1	1	1	1	1	1	-
11	Molecule 11	c1ccc2c(c1)c3ccc4ccc5cccc6cc2c3c4c56	vP (GOOD reliability)	vP	4	-	vP (sediment) alert no. 1	0.95	0.902	1	1	1	1	-
12	Molecule 12	c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl	vP (EXPERIMENTAL value)	vP	1	vP	vP (sediment) alert no. 2	1	1	1	1	1	1	-
13	Molecule 13	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	vP (MODERATE reliability)	vP	0	-	vP (sediment) alert no. 3; vP (sediment) alert no. 6	0.719	0.715	1	1	0.85	1	-
14	Molecule 14	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	vP (MODERATE reliability)	vP	0	-	vP (sediment) alert no. 3; vP (sediment) alert no. 6	0.719	0.715	1	1	0.85	1	-
15	Molecule 15	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	vP (MODERATE reliability)	vP	0	-	vP (sediment) alert no. 3; vP (sediment) alert no. 6	0.719	0.715	1	1	0.85	1	-
