No.	Id	SMILES	Assessment	Predicted HL [log(days)]	Predicted HL [days]	Experimental value [days]	Experimental	ADI	Similarity index	Accuracy index	Concordance index	Max error index	Descriptors range check	ACF index	Remarks
1	Molecule 1	c1ccc2c(c1)c4cccc3cccc2c34	71 days (EXPERIMENTAL value)	1.85	71	71	1.85	1	1	0	0	0	True	1	-
2	Molecule 2	c1cc2ccc3cccc4ccc(c1)c2c34	71 days (EXPERIMENTAL value)	1.41	26	71	1.85	1	1	0.441	0.441	0.441	True	1	-
3	Molecule 3	c3ccc4cc2c(ccc1ccccc12)cc4(c3)	71 days (EXPERIMENTAL value)	1.85	71	71	1.85	1	1	0	0	0	True	1	-
4	Molecule 4	c1ccc2c(c1)ccc3c4ccccc4(ccc23)	71 days (EXPERIMENTAL value)	1.85	71	71	1.85	1	1	0	0	0	True	1	-
5	Molecule 5	c1ccc4c(c1)ccc5c3cccc2cccc(c23)c45	71 days (GOOD reliability)	1.85	71	-	-	1	0.973	0	0	0	True	1	-
6	Molecule 6	c1ccc3c(c1)cc5c2ccccc2c4cccc3c45	71 days (GOOD reliability)	1.85	71	-	-	1	0.973	0	0	0	True	1	-
7	Molecule 7	c1ccc2cc3c5cccc4cccc(c3(cc2(c1)))c45	71 days (EXPERIMENTAL value)	1.85	71	71	1.85	1	1	0	0	0	True	1	-
8	Molecule 8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	71 days (EXPERIMENTAL value)	1.85	71	71	1.85	1	1	0	0	0	True	1	-
9	Molecule 9	c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45	71 days (GOOD reliability)	1.85	71	-	-	1	0.978	0	0	0	True	1	-
10	Molecule 10	c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56	71 days (EXPERIMENTAL value)	1.85	71	71	1.85	1	1	0	0	0	True	1	-
11	Molecule 11	c1ccc2c(c1)c3ccc4ccc5cccc6cc2c3c4c56	71 days (GOOD reliability)	1.85	71	-	-	1	0.95	0	0	0	True	1	-
