Prediction and Applicability Domain analysis for model:
Ready Biodegradability model (IRFMN) (version 1.0.10)
(calculation core version : 1.3.18)

No.	Id	SMILES	Assessment	Predicted RB activity	No. alerts for non RB	No. alerts for possible non RB	No. alerts for RB	No. alerts for possible RB	Experimental	Structural Alerts	ADI	Similarity index	Accuracy index	Concordance index	ACF index	Remarks
1	Molecule 1	c1ccc2c(c1)c4cccc3cccc2c34	Possible NON Readily Biodegradable (LOW reliability)	Possible NON Readily Biodegradable	0	1	0	0	-	Possibile non RB alert no. 3:  (naphthalene)	0.635	0.86	0.33	0.668	1	-
2	Molecule 2	c1cc2ccc3cccc4ccc(c1)c2c34	Possible NON Readily Biodegradable (LOW reliability)	Possible NON Readily Biodegradable	0	1	0	0	-	Possibile non RB alert no. 3:  (naphthalene)	0.639	0.836	0.351	0.679	1	-
3	Molecule 3	c3ccc4cc2c(ccc1ccccc12)cc4(c3)	Possible NON Readily Biodegradable (LOW reliability)	Possible NON Readily Biodegradable	0	1	0	0	-	Possibile non RB alert no. 3:  (naphthalene)	0.634	0.827	0.344	0.686	1	-
4	Molecule 4	c1ccc2c(c1)ccc3c4ccccc4(ccc23)	Possible NON Readily Biodegradable (LOW reliability)	Possible NON Readily Biodegradable	0	1	0	0	-	Possibile non RB alert no. 3:  (naphthalene)	0.634	0.827	0.344	0.686	1	-
5	Molecule 5	c1ccc4c(c1)ccc5c3cccc2cccc(c23)c45	Possible NON Readily Biodegradable (LOW reliability)	Possible NON Readily Biodegradable	0	1	0	0	-	Possibile non RB alert no. 3:  (naphthalene)	0.621	0.826	0.322	0.676	1	-
6	Molecule 6	c1ccc3c(c1)cc5c2ccccc2c4cccc3c45	Possible NON Readily Biodegradable (LOW reliability)	Possible NON Readily Biodegradable	0	1	0	0	-	Possibile non RB alert no. 3:  (naphthalene)	0.621	0.826	0.322	0.676	1	-
7	Molecule 7	c1ccc2cc3c5cccc4cccc(c3(cc2(c1)))c45	Possible NON Readily Biodegradable (LOW reliability)	Possible NON Readily Biodegradable	0	1	0	0	-	Possibile non RB alert no. 3:  (naphthalene)	0.621	0.826	0.322	0.676	1	-
8	Molecule 8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Possible NON Readily Biodegradable (LOW reliability)	Possible NON Readily Biodegradable	0	1	0	0	-	Possibile non RB alert no. 3:  (naphthalene)	0.624	0.804	0.342	0.687	1	-
9	Molecule 9	c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45	Possible NON Readily Biodegradable (MODERATE reliability)	Possible NON Readily Biodegradable	0	1	0	0	-	Possibile non RB alert no. 3:  (naphthalene)	0.803	0.798	0.655	1	1	-
10	Molecule 10	c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56	Possible NON Readily Biodegradable (MODERATE reliability)	Possible NON Readily Biodegradable	0	1	0	0	-	Possibile non RB alert no. 3:  (naphthalene)	0.798	0.787	0.655	1	1	-
11	Molecule 11	c1ccc2c(c1)c3ccc4ccc5cccc6cc2c3c4c56	Possible NON Readily Biodegradable (LOW reliability)	Possible NON Readily Biodegradable	0	1	0	0	-	Possibile non RB alert no. 3:  (naphthalene)	0.613	0.805	0.322	0.677	1	-
12	Molecule 12	c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl	NON Readily Biodegradable (GOOD reliability)	NON Readily Biodegradable	1	2	0	0	-	Non RB alert no. 1:  (1,2-dichlorobenzene); Possibile non RB alert no. 7:  (chlorobenzene); Possibile non RB alert no. 11:  (halogenated ring structure)	0.962	0.925	1	1	1	-
13	Molecule 13	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	NON Readily Biodegradable (MODERATE reliability)	NON Readily Biodegradable	1	1	0	1	-	Non RB alert no. 3:  (1,2-dichloroethane); Possibile non RB alert no. 11:  (halogenated ring structure); Possible RB alert no. 20: CCCC	0.867	0.751	1	1	1	-
14	Molecule 14	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	NON Readily Biodegradable (MODERATE reliability)	NON Readily Biodegradable	1	1	0	1	-	Non RB alert no. 3:  (1,2-dichloroethane); Possibile non RB alert no. 11:  (halogenated ring structure); Possible RB alert no. 20: CCCC	0.867	0.751	1	1	1	-
15	Molecule 15	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	NON Readily Biodegradable (MODERATE reliability)	NON Readily Biodegradable	1	1	0	1	-	Non RB alert no. 3:  (1,2-dichloroethane); Possibile non RB alert no. 11:  (halogenated ring structure); Possible RB alert no. 20: CCCC	0.867	0.751	1	1	1	-
16	Molecule 16	c1cc(ccc1C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl	NON Readily Biodegradable (LOW reliability)	NON Readily Biodegradable	1	3	0	0	-	Non RB alert no. 33:  (chloroethene); Possibile non RB alert no. 1:  (benzylbenzene); Possibile non RB alert no. 7:  (chlorobenzene); Possibile non RB alert no. 11:  (halogenated ring structure)	0.46	0.815	1	1	0.51	-
17	Molecule 17	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)Cl)Cl	NON Readily Biodegradable (MODERATE reliability)	NON Readily Biodegradable	1	3	0	0	-	Non RB alert no. 12:  ((1-phenylethyl)benzene); Possibile non RB alert no. 1:  (benzylbenzene); Possibile non RB alert no. 7:  (chlorobenzene); Possibile non RB alert no. 11:  (halogenated ring structure)	0.778	0.838	1	1	0.85	-
18	Molecule 18	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	NON Readily Biodegradable (MODERATE reliability)	NON Readily Biodegradable	2	3	0	0	-	Non RB alert no. 12:  ((1-phenylethyl)benzene); Non RB alert no. 32:  (1,1,1-trichloroethane); Possibile non RB alert no. 1:  (benzylbenzene); Possibile non RB alert no. 7:  (chlorobenzene); Possibile non RB alert no. 11:  (halogenated ring structure)	0.771	0.823	1	1	0.85	-
